crack_id,confidence,area_pixels,area_percentage,length_pixels,avg_width_pixels,max_width_pixels,area_mm2,length_mm,avg_width_mm,max_width_mm,relative_depth_contrast,severity,image_name
1,0.733,62412,15.2373,1130,32.45,93.12,2708.85,235.42,6.76,19.4,-10.0654,High,CRACK500_20160328_153821_1281_1.jpg
1,0.709,58984,14.4004,1921,19.24,79.09,2560.07,400.21,4.008,16.477,-14.5844,High,CRACK500_20160328_153821_1281_1081.jpg
2,0.511,22363,5.4597,755,18.33,70.0,970.62,157.29,3.818,14.583,-0.5959,Moderate,CRACK500_20160328_153821_1281_1081.jpg
1,0.715,33699,8.2273,660,27.29,84.0,1462.63,137.5,5.685,17.5,0.2422,Moderate,CRACK500_20160328_153821_1281_361.jpg
2,0.293,32629,7.9661,611,29.76,102.0,1416.19,127.29,6.2,21.25,2.4646,Moderate,CRACK500_20160328_153821_1281_361.jpg
1,0.677,4898,1.1958,131,19.33,45.94,212.59,27.29,4.028,9.57,1.341,Moderate,CRACK500_20160328_153821_1281_721.jpg
2,0.6,9516,2.3232,292,20.69,62.0,413.02,60.83,4.31,12.917,0.896,Moderate,CRACK500_20160328_153821_1281_721.jpg
3,0.294,1551,0.3787,72,11.71,32.0,67.32,15.0,2.44,6.667,1.9889,Low,CRACK500_20160328_153821_1281_721.jpg
4,0.29,5785,1.4124,235,16.13,45.19,251.09,48.96,3.36,9.414,1.0048,Low,CRACK500_20160328_153821_1281_721.jpg
1,0.87,42473,10.3694,794,29.1,72.3,1843.45,165.42,6.063,15.063,-1.7852,Moderate,CRACK500_20160328_153821_1921_1.jpg
